"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
1.252358042E0;-8.787195683E-3;3.973592341E-2;-1.773577452E-2;4.439274845E-2
1.262368042E0;-1.029314607E-2;4.453122497E-2;-6.530170441E-2;7.970753698E-2
1.272378042E0;-4.706423879E-3;3.480262756E-2;5.369732022E-2;6.416210338E-2
1.282387042E0;1.570591360E-2;-5.605140924E-3;-5.858325362E-3;1.767521720E-2
1.292428042E0;-7.959814668E-3;-6.548179865E-2;3.893076181E-3;6.607859446E-2
1.302438042E0;-1.999426156E-2;-1.159245586E-1;3.686844885E-2;1.232783692E-1
1.312447042E0;-5.084534079E-2;-1.136692876E-1;3.167612135E-2;1.284886465E-1
1.322488042E0;-6.402145654E-2;-1.112701750E-1;-3.535928249E-2;1.331543375E-1
1.332497042E0;-7.018091351E-2;-1.256326908E-1;-8.090207577E-2;1.650880961E-1
1.342507042E0;-2.440130800E-2;-1.349057901E-1;-8.439286351E-2;1.609880475E-1
1.352547042E0;5.806285143E-4;-1.277125454E-1;3.271517158E-2;1.318374523E-1
1.362557042E0;5.445365757E-2;-5.810202777E-2;9.101308107E-2;1.209314987E-1
1.372567042E0;5.666653633E-2;-1.737909436E-2;9.827649236E-2;1.147667121E-1
1.382577042E0;9.703162014E-3;-3.443366826E-2;6.629573107E-2;7.533228272E-2
1.392617042E0;-2.859902412E-2;-1.134546947E-1;-2.753570795E-2;1.202001961E-1
1.402627042E0;-5.802513689E-2;-1.206233811E-1;-1.019134605E-1;1.682357573E-1
1.412636042E0;5.382654369E-3;-1.465031576E-1;-1.388596773E-1;2.019261205E-1
1.422677042E0;1.561498940E-2;-7.958586752E-2;-3.527683675E-2;8.844316488E-2
1.432687042E0;7.360767424E-3;6.845569253E-2;1.386000609E-1;1.547589727E-1
1.442696042E0;-2.832391262E-2;1.184423697E-1;7.988115191E-2;1.456428419E-1
1.452737042E0;-3.289380401E-2;1.639366311E-1;1.445139349E-2;1.678274832E-1
1.462746042E0;-1.334802389E-2;2.646794790E-1;-5.010011315E-2;2.697098769E-1
1.472756042E0;-9.703162014E-3;2.694888139E-1;-9.751869321E-2;2.867547169E-1
1.482796042E0;6.829547882E-4;2.241559356E-1;-7.465958834E-2;2.362634209E-1
1.492806042E0;9.913369417E-3;2.481166559E-1;-3.484004974E-2;2.507468423E-1
1.502816042E0;4.736303151E-2;2.386874360E-1;3.768355072E-2;2.462417488E-1
1.512826042E0;5.043018848E-2;2.457198822E-1;1.444040072E-1;2.894373537E-1
1.522866042E0;3.694914043E-2;3.030559248E-1;6.218981624E-2;3.115697446E-1
1.532876042E0;5.326053321E-2;3.057549995E-1;-6.202609420E-2;3.164965094E-1
1.542886042E0;4.901837826E-2;2.698314607E-1;-7.163599312E-2;2.834493502E-1
1.552926042E0;1.783605427E-2;2.672908455E-1;-6.201907754E-2;2.749707019E-1
1.562936042E0;1.483497083E-2;1.834645772E-1;1.726682782E-2;1.848714980E-1
1.572945042E0;1.999981642E-2;8.302169144E-2;2.719949305E-2;8.962369290E-2
1.582986042E0;-3.476374358E-2;4.679234326E-2;1.439058244E-2;6.004273577E-2
1.592995042E0;-2.184695184E-2;-2.716090143E-2;-3.609895527E-2;5.018105661E-2
1.603005042E0;-3.144457161E-2;-1.205748492E-1;-1.027238846E-2;1.250303056E-1
1.613015042E0;-5.323392838E-2;-1.446817499E-1;-5.513339639E-3;1.542629470E-1
1.623055042E0;-4.187249601E-2;-1.301683760E-1;1.897187591E-2;1.380472531E-1
1.633065042E0;-3.499500096E-2;-5.846747875E-2;1.694990873E-2;7.021677556E-2
1.643075042E0;-2.175748944E-2;-9.899336100E-4;6.255058944E-2;6.623401358E-2
1.653115042E0;-9.043303728E-3;8.735155463E-3;-9.116393924E-3;1.553038704E-2
1.663125042E0;-8.160666525E-3;8.739248514E-3;-6.160509467E-2;6.275474988E-2
1.673135042E0;8.456827998E-3;5.903758228E-2;-6.086308300E-2;8.521307959E-2
1.683175042E0;1.629677474E-2;6.158872247E-2;-9.640889168E-2;1.155570422E-1
1.693185042E0;-7.844039798E-4;7.342231750E-2;-5.578185260E-2;9.221207663E-2
1.703194042E0;7.338255644E-3;1.163888276E-1;3.249882460E-2;1.210635485E-1
1.713204042E0;1.283756196E-3;8.301116645E-2;-2.251587331E-2;8.602015076E-2
1.723244042E0;-1.208385587E-2;1.258157086E-1;4.369682729E-2;1.337349050E-1
1.733254042E0;-1.066035122E-2;1.305987310E-1;9.400159299E-2;1.612636696E-1
1.743264042E0;-9.302920103E-3;9.960965753E-2;9.414017200E-4;1.000475609E-1
1.753304042E0;-3.304875523E-2;6.831535935E-2;-8.597745895E-3;7.637492900E-2
1.763314042E0;-3.550517052E-2;2.055822551E-2;-9.870100021E-4;4.103939521E-2
1.773324042E0;-1.089540929E-2;-8.036413193E-3;-4.319162786E-2;4.526378903E-2
1.783364042E0;3.533180058E-3;-5.339501917E-2;-3.364253998E-2;6.320863810E-2
1.793374042E0;1.778196752E-2;-3.423837125E-2;-3.802093506E-2;5.416692660E-2
1.803384042E0;1.316500604E-3;-6.537771821E-2;-6.241142571E-2;9.039449801E-2
1.813393042E0;-1.039401054E-2;6.172905564E-3;5.144380331E-2;5.284510495E-2
1.823434042E0;-2.254978716E-2;4.449204862E-2;4.644209504E-2;6.815352877E-2
1.833443042E0;-1.041476816E-2;7.802641511E-2;3.702807784E-2;8.699234104E-2
1.843453042E0;1.436076164E-3;1.115619510E-1;4.195260286E-2;1.191979535E-1
1.853493042E0;1.049575210E-4;8.776085973E-2;-2.705682099E-2;9.183708988E-2
1.863503042E0;2.199781001E-2;8.072081208E-2;-5.032464623E-2;9.763361699E-2
